"Borough","Bedroom Category","Median","Count of rents"
"Barking and Dagenham","Studio","740","10"
"Barnet","Studio","900","170"
"Bexley","Studio","825","20"
"Brent","Studio","875","100"
"Bromley","Studio","819","50"
"Camden","Studio","1083","270"
"City of London","Studio","1365","40"
"Croydon","Studio","800","110"
"Ealing","Studio","940","160"
"Enfield","Studio","800","60"
"Greenwich","Studio","850","30"
"Hackney","Studio","1050","70"
"Hammersmith and Fulham","Studio","992","150"
"Haringey","Studio","869","170"
"Harrow","Studio","750","50"
"Havering","Studio","700","20"
"Hillingdon","Studio","750","120"
"Hounslow","Studio","813","110"
"Islington","Studio","1139","90"
"Kensington and Chelsea","Studio","1300","310"
"Kingston upon Thames","Studio","875","20"
"Lambeth","Studio","1000","80"
"Lewisham","Studio","895","110"
"Merton","Studio","925","20"
"Newham","Studio","1218","80"
"Redbridge","Studio","780","50"
"Richmond upon Thames","Studio","950","80"
"Southwark","Studio","1100","70"
"Sutton","Studio","795","60"
"Tower Hamlets","Studio","1250","90"
"Waltham Forest","Studio","850","40"
"Wandsworth","Studio","1050","60"
"Westminster","Studio","1235","160"
